winperc,sav,gpg,sp,sogp,fp,cp,mu,ga,,,
23.5,0.685021996,0.217904568,0.213043481,0.56078434,0.301923066,0.630341887,0.335807055,0.369542629,,,
56.29999924,0.607929528,0.62075752,0.410869569,0.68235296,0.580769241,0.747863233,0.525046408,0.280145526,,,
16,0.625550687,0.153959662,0.165217385,0.70588237,0.261538476,0.438034177,0.274582565,0.65280664,,,
72.19999695,0.47356829,0.60600096,0.715217412,0.715686262,0.757692337,0.786324799,0.645640075,0.227650732,,,
55.59999847,0.676211476,0.37924251,0.256521732,0.666666687,0.880769253,0.598290622,0.517625213,0.216216221,,,
50,0.583700418,0.387112647,0.310869575,0.639215708,0.544230759,0.683760703,0.512059391,0.307172567,,,
38.40000153,0.696035266,0.285784543,0.23043479,0.676470578,0.834615409,0.617521346,0.400742114,0.296257794,,,
46.70000076,0.843612313,0.352188885,0.317391306,0.639215708,0.615384638,0.698717952,0.333951771,0.147089392,,,
46.59999847,0.52202642,0.454008847,0.295652181,0.741176486,0.961538434,0.735042751,0.447124302,0.278950095,,,
74,0.660792947,0.889818013,0.436956525,0.737254918,0.813461542,0.799145281,0.721706867,0.358627856,,,
53.29999924,0.753303945,0.450565666,0.330434769,0.611764729,0.561538458,0.745726526,0.437847853,0.324844062,,,
39,0.768722475,0.217904568,0.269565225,0.701960802,0.875,0.724358976,0.393320978,0.099636175,,,
77.80000305,0.762114525,0.510083616,0.3326087,0.631372571,0.728846133,0.758547008,0.591836751,0.113305613,,,
46.20000076,0.625550687,0.452533215,0.408695638,0.688235283,0.550000012,0.882478654,0.716140985,0.391372144,,,
28.5,0.649779737,0.34579438,0.3326087,0.709803939,0.490384609,0.45726496,0.435992569,0.452182949,,,
68.40000153,0.859030843,0.414658129,0.326086968,0.596078455,0.742307663,0.617521346,0.675324678,0.123700626,,,
62.5,0.700440526,0.482538134,0.349999994,0.564705908,0.844230771,0.730769217,0.78849721,0.251559258,,,
63.09999847,0.647577107,0.575012326,0.384782612,0.678431392,0.640384614,0.743589759,0.756957352,0.315488577,,,
62.5,0.687224686,0.562223315,0.319565207,0.770588219,0.846153855,0.829059839,0.532467544,0.284303546,,,
46.20000076,0.645374477,0.346778154,0.330434769,0.856862724,0.355769217,0.655982912,0.495361775,0.333160073,,,
71.40000153,0.850220263,0.537629128,0.460869551,0.752941191,0.567307711,0.668803394,0.517625213,0.183471933,,,
17,0.462555081,0.19429414,0.176086962,0.641176462,0.51346153,0.700854719,0.612244904,0.172557175,,,
80,0.596916318,0.653221846,0.460869551,0.69607842,0.903846145,0.831196606,0.76994437,0.178794175,,,
38.90000153,0.466960341,0.469257265,0.347826093,0.670588255,0.648076952,0.632478654,0.673469365,0.450103939,,,
31.79999924,0.887665212,0.434333503,0.271739125,0.713725507,0.332692295,0.628205121,0.337662339,0.311850309,,,
81,0.729074895,0.597147048,0.4152174,0.674509823,0.805769205,0.818376064,0.725417435,0.244282737,,,
47.09999847,0.731277525,0.287260205,0.284782618,0.664705873,0.448076934,0.732905984,0.332096487,0.26871103,,,
0,0.268722475,0,0,0.494117647,0.219230771,0.010683761,0,0.99792099,,,
63.09999847,0.786343634,0.431382179,0.3347826,0.650980413,0.713461518,0.724358976,0.424860865,0.225051969,,,
58.79999924,0.636563897,0.46089524,0.310869575,0.733333349,0.657692313,0.732905984,0.543599248,0.323804587,,,
50,0.682819366,0.328578442,0.3347826,0.701960802,0.546153843,0.679487169,0.408163279,0.265072763,,,
81.19999695,0.715859056,0.648302972,0.473913044,0.786274493,0.844230771,0.807692289,0.701298714,0.169438675,,,
16.60000038,0.596916318,0.119527794,0.11304348,0.619607866,0.259615391,0.224358976,0.139146566,0.517151773,,,
31.29999924,0.345814973,0.245450079,0.171739131,0.590196073,0.853846133,0.64316237,0.302411884,0.748440742,,,
38.90000153,0.665198267,0.368421048,0.295652181,0.613725483,0.713461518,0.720085442,0.62894249,0.259355515,,,
35.70000076,0.795154214,0.309394985,0.29130435,0.684313715,0.578846157,0.47863248,0.532467544,0.333160073,,,
55.59999847,0.731277525,0.485489428,0.347826093,0.607843161,0.798076928,0.70726496,0.467532456,0.175155923,,,
13.30000019,0.381057262,0.263649791,0.310869575,0.650980413,0.200000003,0.31410256,0.231910944,0.769750535,,,
42.90000153,0.475770921,0.597147048,0.436956525,0.764705896,0.457692295,0.623931646,0.695732832,0.614864886,,,
75,0.451541841,0.685194314,0.428260863,0.782352924,0.623076916,0.91452992,0.842300534,0.301975042,,,
50,0.687224686,0.256763399,0.173913047,0.633333325,0.300000012,0.720085442,0.365491658,0.218295217,,,
86.30000305,0.693832576,0.498278409,0.367391318,0.654901981,0.69615382,0.873931646,0.554731011,0.239085242,,,
33.29999924,0.594713628,0.430890322,0.371739119,0.623529434,0.371153831,0.611111104,0.538033366,0.369022876,,,
58.79999924,0.720264316,0.365469754,0.273913056,0.566666663,0.467307687,0.634615362,0.53988868,0.222453222,,,
50,0.572687209,0.340875566,0.254347831,0.668627441,0.636538446,0.604700863,0.471243054,0.258835763,,,
62.5,0.828193843,0.494589269,0.400000006,0.823529422,0.494230777,0.696581185,0.463821888,0.107588358,,,
52.90000153,0.682819366,0.495818973,0.347826093,0.680392146,0.488461524,0.692307711,0.510204077,0.284303546,,,
71.40000153,0.830396473,0.365469754,0.260869563,0.545098066,0.794230759,0.764957249,0.480519474,0.121101871,,,
72.19999695,0.654184997,0.611411691,0.402173907,0.701960802,0.746153831,0.68589741,0.721706867,0.279106021,,,
41.20000076,0.786343634,0.400393516,0.343478262,0.107843138,0.524999976,0.519230783,0.554731011,0.23336798,,,
64.19999695,0.654184997,0.372356117,0.343478262,0.707843125,0.367307693,0.831196606,0.447124302,0.151247397,,,
